C�digo;Descri��o;Fornecedor;Nome do fornecedor;Departamento;Descri��o do departamento;Se��o;Descri��o da se��o;Marca;Marca;Categoria;Nome da categoria;Tipo de mercadoria;Embalagem;Qtde unit.embalagem(Venda);Qtde embalagem master(Compra);Peso l�quido (Kg);NCM + Exce��o;Descri��o;NCM;Exce��o da TIPI;GTIN Unid.Venda;GTIN Unid.Master;GTIN Unid. Tribut�vel;Unidade Venda [EAN8, UPC12, EAN13, e DUN14];Unidade Master [EAN8, UPC12, EAN13, e DUN14];EAN Unid. Tribut�vel;C�d. F�brica;N�mero original;C�d. prod. principal;Descri��o do produto;Envia informa��es t�cnicas para NF-e;Fora de linha;Sub-Categoria;Nome da subcategoria;Data Exclus�o;Dt.Cadastro;% Representante;M�ltiplo compras;Qtd min. de compra embalagem do fornecedor;Sugerir pre�o de venda baseado;C�digo filial;Raz�o Social;Utiliza licen�a de importa��o;Descricao;Controlado pelo IBAMA;Verificar ramo de atividade para c�lculo do ST;Classe comiss�o;%Comiss�o Int.;Unidade Tribut�vel;Descri��o da unidade;Cesta B�sica - Legisla��o;Fator Convers�o Tribut�vel;Fator Convers�o Tribut�vel Ex;C�digo de agrega��o;C�digo interno;Utiliza o c�digo de agrega��o;Distribui��o;Descri��o do distribuidor;Classe Terap�utica;Codigo da sazonalidade;C�digo no SIMPRO;Grupo de Faturamento;Descri��o do principio ativo;Princ�pio ativo 2;Tipo embalagem Unilever;Tipo integra��o B2B;Url do produto; 
172;TORCIDA CALABRESA 80G;752;PEPSICO DO BRASIL LTDA (TORCIDA);112000;TORCIDA;112001;TORCIDA;193;TORCIDA;62;A DEFINIR;L;UNIDADE;1;20;0,08;19059090.;OUTS.PRODS./PADARIA,PASTELAR.D/INDS.DE BISCS.;19059090;;13;14;;7,89634E+12;1,78963E+13;;300005861;;172;TORCIDA CALABRESA 80G;N;FL;;;;04/10/2013;3;0;0;0;;;N;;N;N;;;;;N;;;;;N;4;PRIME;;;;;;;;;;
174;TORCIDA CEBOLA 80G;752;PEPSICO DO BRASIL LTDA (TORCIDA);112000;TORCIDA;112001;TORCIDA;193;TORCIDA;62;A DEFINIR;L;UNIDADE;1;20;0,08;19059090.;OUTS.PRODS./PADARIA,PASTELAR.D/INDS.DE BISCS.;19059090;;13;14;;7,89634E+12;1,78963E+13;;300005863;;174;TORCIDA CEBOLA 80G;N;FL;;;;04/10/2013;3;0;0;0;;;N;;N;N;;;;;N;;;;;N;4;PRIME;;;;;;;;;;
175;TORCIDA PIMENTA MEXICANA 80G;752;PEPSICO DO BRASIL LTDA (TORCIDA);112000;TORCIDA;112001;TORCIDA;193;TORCIDA;62;A DEFINIR;L;UNIDADE;1;20;0,08;19059090.;OUTS.PRODS./PADARIA,PASTELAR.D/INDS.DE BISCS.;19059090;;13;14;;7,89634E+12;1,78963E+13;;300005644;;175;TORCIDA PIMENTA MEXICANA 80G;N;FL;;;;04/10/2013;3;0;0;0;;;N;;N;N;;;;;N;;;;;N;4;PRIME;;;;;;;;;;
178;TORCIDA JR BACON 50G;752;PEPSICO DO BRASIL LTDA (TORCIDA);112000;TORCIDA;112002;TORCIDA JR;193;TORCIDA;63;A DEFINIR;L;UNIDADE;1;20;0,05;19059090.;OUTS.PRODS./PADARIA,PASTELAR.D/INDS.DE BISCS.;19059090;;13;14;;7,89634E+12;1,78963E+13;;300018501;;178;TORCIDA JR BACON 50G;N;FL;;;;04/10/2013;3;0;0;0;;;N;;N;N;;;;;N;;;;;N;4;PRIME;;;;;;;;;;
183;TORCIDA JR PIMENTA MEXICANA 50G;752;PEPSICO DO BRASIL LTDA (TORCIDA);112000;TORCIDA;112002;TORCIDA JR;193;TORCIDA;63;A DEFINIR;L;UNIDADE;1;20;0,05;19059090.;OUTS.PRODS./PADARIA,PASTELAR.D/INDS.DE BISCS.;19059090;;13;14;;7,89634E+12;1,78963E+13;;300005645;;183;TORCIDA JR PIMENTA MEXICANA 50G;N;FL;;;;04/10/2013;3;0;0;0;;;N;;N;N;;;;;N;;;;;N;4;PRIME;;;;;;;;;;
1147;TORCIDA CHURRASCO 80G;752;PEPSICO DO BRASIL LTDA (TORCIDA);112000;TORCIDA;112001;TORCIDA;193;TORCIDA;62;A DEFINIR;L;UNIDADE;1;20;0,08;19059090.;OUTS.PRODS./PADARIA,PASTELAR.D/INDS.DE BISCS.;19059090;;13;14;;7,89634E+12;1,78963E+13;;300005864;;1147;TORCIDA CHURRASCO 80G;N;FL;;;;29/03/2014;3;0;0;0;;;N;;N;N;;;;;N;;;;;N;4;PRIME;;;;;;;;;;
1201;LUCKY BATATA PALHA ORIGINAL 80G;752;PEPSICO DO BRASIL LTDA (TORCIDA);111000;LUCK;111001;LUCK BATATA PALHA;10;LUCKY;60;A DEFINIR;L;UNIDADE;1;24;0,08;19059090.;OUTS.PRODS./PADARIA,PASTELAR.D/INDS.DE BISCS.;19059090;;13;14;;7,89634E+12;1,78963E+13;;300014176;;1201;LUCKY BATATA PALHA ORIGINAL 80G;N;FL;;;;29/03/2014;3;0;0;0;;;N;;N;N;;;;;N;;;;;N;4;PRIME;;;;;;;;;;
1443;PALETE DE MADEIRA CHEP PEPSICO;1119;PEPSICO DO BRASIL IND COM ALI LTDA;70000;IMOBILIZADO;70100;RETORNAVEIS;4;TODDY;70101;PALETES;MC;UNIDADE;1;1;35;44152000.;PELETES SIMPL.,PELETES-CAIXAS,ETC. D/MADEIRA;44152000;;13;14;;1,2E+12;2,12E+13;;1200000100;;1443;PALETE DE MADEIRA CHEP PEPSICO;N;  ;2;CHEPP;;07/05/2014;;;;0;;;N;;N;N;;;;;N;;;;;N;;;;;;;;;;;;
2070;LUCKY BATATA CHIPS ORIGINAL 90G;752;PEPSICO DO BRASIL LTDA (TORCIDA);111000;LUCK;111002;LUCK BATATA CHIPS;10;LUCKY;61;A DEFINIR;L;UNIDADE;1;22;0,09;20052000.;BATATAS � CONS.VINAGRE/�CIDO AC�TICO,� CONG.;20052000;;13;14;;7,89634E+12;1,78963E+13;;300014175;;2070;LUCKY BATATA CHIPS ORIGINAL 90G;N;FL;;;;20/10/2015;3;0;0;0;;;N;;N;N;;;;;N;;;;;N;4;PRIME;;;;;;;;;;
2178;EC RUFFLES CEBOLA E SALSA 57G;708;PEPSICO DO BRASIL INDUSTRIA E COMERCIO DE ALIMENTOS LTDA;90003;PEPSICO;90007;N�O EXTRUSADOS;12;RUFFLES;56;RUFFLES;L;UNIDADE;1;30;0,057;20052000.;BATATAS � CONS.VINAGRE/�CIDO AC�TICO,� CONG.;20052000;;13;14;;7,89284E+12;1,78928E+13;;300032072;;2177;EC RUFFLES SAL 57G;N;FL;;;;27/05/2016;;0;0;0;;;N;;N;N;;;;;N;;;;;N;4;PRIME;;;;;;;;;;
2181;EC BACONZITOS 103G;708;PEPSICO DO BRASIL INDUSTRIA E COMERCIO DE ALIMENTOS LTDA;90003;PEPSICO;90007;N�O EXTRUSADOS;16;BACONZITOS;66;A DEFINIR;L;UNIDADE;1;12;0,103;19059090.;OUTS.PRODS./PADARIA,PASTELAR.D/INDS.DE BISCS.;19059090;;13;14;;7,89284E+12;1,78928E+13;;300032024;;2181;EC BACONZITOS 103G;N;FL;;;;27/05/2016;;0;0;0;;;N;;N;N;;;;;N;;;;;N;4;PRIME;;;;;;;;;;
2206;EC RUFFLES SAL 167G;708;PEPSICO DO BRASIL INDUSTRIA E COMERCIO DE ALIMENTOS LTDA;90003;PEPSICO;90007;N�O EXTRUSADOS;12;RUFFLES;56;RUFFLES;L;UNIDADE;1;15;0,167;20052000.;BATATAS � CONS.VINAGRE/�CIDO AC�TICO,� CONG.;20052000;;13;14;;7,89284E+12;1,78928E+13;;300032027;;2206;EC RUFFLES SAL 167G;N;  ;;;;21/06/2016;;0;0;0;;;N;;N;N;;;;;N;;;;;N;4;PRIME;;;;;;;;;;
2361;EC RUFFLES CHURRASCO 57G;708;PEPSICO DO BRASIL INDUSTRIA E COMERCIO DE ALIMENTOS LTDA;90003;PEPSICO;90007;N�O EXTRUSADOS;12;RUFFLES;56;RUFFLES;L;UNIDADE;1;30;0,057;20052000.;BATATAS � CONS.VINAGRE/�CIDO AC�TICO,� CONG.;20052000;;13;14;;7,89284E+12;1,78928E+13;;300032046;;2177;EC RUFFLES SAL 57G;N;FL;;;;12/08/2016;;0;0;0;;;N;;N;N;;;;;N;;;;;N;4;PRIME;;;;;;;;;;
2362;EC DORITOS QUEIJO NACHO 37G;708;PEPSICO DO BRASIL INDUSTRIA E COMERCIO DE ALIMENTOS LTDA;90003;PEPSICO;90007;N�O EXTRUSADOS;22;DORITOS;57;DORITOS;L;UNIDADE;1;58;0,037;19059090.;OUTS.PRODS./PADARIA,PASTELAR.D/INDS.DE BISCS.;19059090;;13;14;;7,89284E+12;1,78928E+13;;300032080;;2362;EC DORITOS QUEIJO NACHO 37G;N;FL;;;;22/08/2016;;0;0;0;;;N;;N;N;;;;;N;;;;;N;4;PRIME;;;;;;;;;;
2443;EC DORITOS MYSTERY BRANCO 86G;708;PEPSICO DO BRASIL INDUSTRIA E COMERCIO DE ALIMENTOS LTDA;90003;PEPSICO;90007;N�O EXTRUSADOS;22;DORITOS;57;DORITOS;L;UNIDADE;1;24;0,086;19059090.;OUTS.PRODS./PADARIA,PASTELAR.D/INDS.DE BISCS.;19059090;;13;14;;7,89284E+12;1,78928E+13;;300034952;;2443;EC DORITOS MYSTERY BRANCO 86G;N;FL;;;;06/04/2017;;0;0;0;;;N;;N;N;;;;;N;;;;;N;4;PRIME;;;;;;;;;;
2458;BALA DOCILE DOCIGOMA FRUTAS 240GR;668;DOCILE NORDESTE - INDUSTRIA E COMERCIO DE PRODUTOS ALIMENTIC;10000;ALIMENTOS;16500;DOCES DOCILE;196;DOCILE;16501;BALAS E GOMA DOCILE;L;PC;1;42;0,25;17049020.1;BALAS E CARAMELOS;17049020;;13;14;;7,89645E+12;1,78965E+13;;8146;;2458;BALA DOCILE DOCIGOMA FRUTAS 240GR;N;FL;;;;11/04/2017;3;;;0;;;N;;N;N;;;;;N;;;;;N;4;PRIME;;;;;;;;;;
2459;BALA DOCILE DOCIGOMA GOMOS 240GR;668;DOCILE NORDESTE - INDUSTRIA E COMERCIO DE PRODUTOS ALIMENTIC;10000;ALIMENTOS;16500;DOCES DOCILE;196;DOCILE;16501;BALAS E GOMA DOCILE;L;PC;1;42;0,25;17049020.1;BALAS E CARAMELOS;17049020;;13;14;;7,89645E+12;1,78965E+13;;8141;;2459;BALA DOCILE DOCIGOMA GOMOS 240GR;N;FL;;;;11/04/2017;3;;;0;;;N;;N;N;;;;;N;;;;;N;4;PRIME;;;;;;;;;;
2460;BALA DOCILE DOCIGOMA GURT 240GR;668;DOCILE NORDESTE - INDUSTRIA E COMERCIO DE PRODUTOS ALIMENTIC;10000;ALIMENTOS;16500;DOCES DOCILE;196;DOCILE;16501;BALAS E GOMA DOCILE;L;PC;1;42;0,25;17049020.1;BALAS E CARAMELOS;17049020;;13;14;;7,89645E+12;1,78965E+13;;8139;;2460;BALA DOCILE DOCIGOMA GURT 240GR;N;FL;;;;11/04/2017;3;;;0;;;N;;N;N;;;;;N;;;;;N;4;PRIME;;;;;;;;;;
2462;BALA DOCILE DOCIGOMA URSINHOS 240GR;668;DOCILE NORDESTE - INDUSTRIA E COMERCIO DE PRODUTOS ALIMENTIC;10000;ALIMENTOS;16500;DOCES DOCILE;196;DOCILE;16501;BALAS E GOMA DOCILE;L;PC;1;42;0,25;17049020.1;BALAS E CARAMELOS;17049020;;13;14;;7,89645E+12;1,78965E+13;;8144;;2462;BALA DOCILE DOCIGOMA URSINHOS 240GR;N;FL;;;;11/04/2017;3;;;0;;;N;;N;N;;;;;N;;;;;N;4;PRIME;;;;;;;;;;
2463;DOCILE BALA GELATINES AMORA 80GR;668;DOCILE NORDESTE - INDUSTRIA E COMERCIO DE PRODUTOS ALIMENTIC;10000;ALIMENTOS;16500;DOCES DOCILE;196;DOCILE;16501;BALAS E GOMA DOCILE;L;PC;1;12;0,08;17049020.1;BALAS E CARAMELOS;17049020;;13;14;;7,89645E+12;2,78965E+13;;8465;;2473;DOCILE BALA GELATINES DENTE VAMPIRO 80GR;N;  ;;;;11/04/2017;3;;;0;;;N;;N;N;;;;;N;;;;;N;4;PRIME;;;;;;;;;;
2466;DOCILE BALA GELATINES BEIJO 70GR;668;DOCILE NORDESTE - INDUSTRIA E COMERCIO DE PRODUTOS ALIMENTIC;10000;ALIMENTOS;16500;DOCES DOCILE;196;DOCILE;16501;BALAS E GOMA DOCILE;L;PC;1;12;0,07;17049020.1;BALAS E CARAMELOS;17049020;;13;14;;7,89645E+12;2,78965E+13;;8475;;2473;DOCILE BALA GELATINES DENTE VAMPIRO 80GR;N;  ;;;;11/04/2017;3;;;0;;;N;;N;N;;;;;N;;;;;N;4;PRIME;;;;;;;;;;
2469;BALA GELATINES DOCILE CAO E GATO 80GR;668;DOCILE NORDESTE - INDUSTRIA E COMERCIO DE PRODUTOS ALIMENTIC;10000;ALIMENTOS;16500;DOCES DOCILE;196;DOCILE;16501;BALAS E GOMA DOCILE;L;PC;1;12;0,088;17049020.;BOMBONS,CARAMELOS,CONFEIT.PASTILH.S/ CACAU;17049020;;13;;;7,89846E+12;;;8481;;2469;BALA GELATINES DOCILE CAO E GATO 80GR;N;FL;;;;11/04/2017;3;;;0;;;N;;N;N;;;;;N;;;;;N;4;PRIME;;;;;;;;;;
2471;DOCILE BALA GELATINES COBRINHA CITR 80GR;668;DOCILE NORDESTE - INDUSTRIA E COMERCIO DE PRODUTOS ALIMENTIC;10000;ALIMENTOS;16500;DOCES DOCILE;196;DOCILE;16501;BALAS E GOMA DOCILE;L;PC;1;12;0,083;17049020.1;BALAS E CARAMELOS;17049020;;13;14;;7,89645E+12;2,78965E+13;;8471;;2473;DOCILE BALA GELATINES DENTE VAMPIRO 80GR;N;  ;;;;11/04/2017;3;;;0;;;N;;N;N;;;;;N;;;;;N;4;PRIME;;;;;;;;;;
2473;DOCILE BALA GELATINES DENTE VAMPIRO 80GR;668;DOCILE NORDESTE - INDUSTRIA E COMERCIO DE PRODUTOS ALIMENTIC;10000;ALIMENTOS;16500;DOCES DOCILE;196;DOCILE;16501;BALAS E GOMA DOCILE;L;PC;1;12;0,083;17049020.1;BALAS E CARAMELOS;17049020;;13;14;;7,89645E+12;2,78965E+13;;8462;;2473;DOCILE BALA GELATINES DENTE VAMPIRO 80GR;N;  ;;;;11/04/2017;3;;;0;;;N;;N;N;;;;;N;;;;;N;4;PRIME;;;;;;;;;;
2474;DOCILE GELATINES FESTA 80GR;668;DOCILE NORDESTE - INDUSTRIA E COMERCIO DE PRODUTOS ALIMENTIC;10000;ALIMENTOS;16500;DOCES DOCILE;196;DOCILE;16501;BALAS E GOMA DOCILE;L;PC;1;12;0,08;17049020.1;BALAS E CARAMELOS;17049020;;13;14;;7,89645E+12;2,78965E+13;;8464;;2473;DOCILE BALA GELATINES DENTE VAMPIRO 80GR;N;  ;;;;11/04/2017;3;;;0;;;N;;N;N;;;;;N;;;;;N;4;PRIME;;;;;;;;;;
2479;DOCILE BALA GELATINNES BANANA 80GR;668;DOCILE NORDESTE - INDUSTRIA E COMERCIO DE PRODUTOS ALIMENTIC;10000;ALIMENTOS;16500;DOCES DOCILE;196;DOCILE;16501;BALAS E GOMA DOCILE;L;PC;1;12;0,083;17049020.1;BALAS E CARAMELOS;17049020;;13;14;;7,89645E+12;2,78965E+13;;8466;;2473;DOCILE BALA GELATINES DENTE VAMPIRO 80GR;N;  ;;;;11/04/2017;3;;;0;;;N;;N;N;;;;;N;;;;;N;4;PRIME;;;;;;;;;;
2482;DOCILE DOCIGOMA GOMO SORT 70GR;668;DOCILE NORDESTE - INDUSTRIA E COMERCIO DE PRODUTOS ALIMENTIC;10000;ALIMENTOS;16500;DOCES DOCILE;196;DOCILE;16501;BALAS E GOMA DOCILE;L;PC;1;30;0,07;17049020.;BOMBONS,CARAMELOS,CONFEIT.PASTILH.S/ CACAU;17049020;;13;14;;7,89988E+12;1,78961E+13;;8135;;2482;DOCILE DOCIGOMA GOMO SORT 70GR;N;FL;;;;11/04/2017;3;;;0;;;N;;N;N;;;;;N;;;;;N;4;PRIME;;;;;;;;;;
2484;BALA GOMA DOCILE FRUTA 20G C/25;668;DOCILE NORDESTE - INDUSTRIA E COMERCIO DE PRODUTOS ALIMENTIC;10000;ALIMENTOS;16500;DOCES DOCILE;196;DOCILE;16501;BALAS E GOMA DOCILE;L;DP C/25;1;12;0,23;17049020.1;BALAS E CARAMELOS;17049020;;13;14;;7,89645E+12;1,78965E+13;;9077;;2484;BALA GOMA DOCILE FRUTA 20G C/25;N;FL;;;;11/04/2017;3;;;0;;;N;;N;N;;;;;N;;;;;N;4;PRIME;;;;;;;;;;
2485;DOCILE DOCIGOMA SINO SORT SM 70GR;668;DOCILE NORDESTE - INDUSTRIA E COMERCIO DE PRODUTOS ALIMENTIC;10000;ALIMENTOS;16500;DOCES DOCILE;196;DOCILE;16501;BALAS E GOMA DOCILE;L;UN;1;30;0,073;17049020.;BOMBONS,CARAMELOS,CONFEIT.PASTILH.S/ CACAU;17049020;;13;14;;7,89645E+12;1,78965E+13;;8110;;2485;DOCILE DOCIGOMA SINO SORT SM 70GR;N;FL;;;;11/04/2017;3;;;0;;;N;;N;N;;;;;N;;;;;N;4;PRIME;;;;;;;;;;
2486;DOCILE DOCIGOMA GURT 70GR;668;DOCILE NORDESTE - INDUSTRIA E COMERCIO DE PRODUTOS ALIMENTIC;10000;ALIMENTOS;16500;DOCES DOCILE;196;DOCILE;16501;BALAS E GOMA DOCILE;L;UN;1;30;0,073;17049020.;BOMBONS,CARAMELOS,CONFEIT.PASTILH.S/ CACAU;17049020;;13;14;;7,89846E+12;1,78985E+13;;8125;;2486;DOCILE DOCIGOMA GURT 70GR;N;FL;;;;11/04/2017;3;;;0;;;N;;N;N;;;;;N;;;;;N;4;PRIME;;;;;;;;;;
2488;DOCILE DOCIGOMA TUBO GURT 30GR C/30;668;DOCILE NORDESTE - INDUSTRIA E COMERCIO DE PRODUTOS ALIMENTIC;10000;ALIMENTOS;16500;DOCES DOCILE;196;DOCILE;16501;BALAS E GOMA DOCILE;L;DP C/30;1;12;0,33;17049020.;BOMBONS,CARAMELOS,CONFEIT.PASTILH.S/ CACAU;17049020;;13;14;;7,89645E+12;1,78965E+13;;9084;;2488;DOCILE DOCIGOMA TUBO GURT 30GR C/30;N;  ;;;;11/04/2017;3;;;0;;;N;;N;N;;;;;N;;;;;N;4;PRIME;;;;;;;;;;
2489;DOCILE BALA GOMA TUBO SORT 31GR C/30;668;DOCILE NORDESTE - INDUSTRIA E COMERCIO DE PRODUTOS ALIMENTIC;10000;ALIMENTOS;16500;DOCES DOCILE;196;DOCILE;16501;BALAS E GOMA DOCILE;L;DP C/30;1;12;0,33;17049020.;BOMBONS,CARAMELOS,CONFEIT.PASTILH.S/ CACAU;17049020;;13;14;;7,89645E+12;1,78965E+13;;9083;;2489;DOCILE BALA GOMA TUBO SORT 31GR C/30;N;  ;;;;11/04/2017;3;;;0;;;N;;N;N;;;;;N;;;;;N;4;PRIME;;;;;;;;;;
2490;BALA GOMA DOCILE URSINHOS 20G C/25;668;DOCILE NORDESTE - INDUSTRIA E COMERCIO DE PRODUTOS ALIMENTIC;10000;ALIMENTOS;16500;DOCES DOCILE;196;DOCILE;16501;BALAS E GOMA DOCILE;L;DP C/25;1;12;0,23;17049020.;BOMBONS,CARAMELOS,CONFEIT.PASTILH.S/ CACAU;17049020;;13;14;;7,89645E+12;1,78965E+13;;9080;;2490;BALA GOMA DOCILE URSINHOS 20G C/25;N;FL;;;;11/04/2017;3;;;0;;;N;;N;N;;;;;N;;;;;N;4;PRIME;;;;;;;;;;
2508;CHICLE PASTI CLE DOCILE HORTELA 240GR;668;DOCILE NORDESTE - INDUSTRIA E COMERCIO DE PRODUTOS ALIMENTIC;10000;ALIMENTOS;16500;DOCES DOCILE;196;DOCILE;16502;CHICLE DOCILE;L;PC;1;24;0,243;17041000.1;GOMA DE MASCAR, MESMO REVEST.DE A��CAR;17041000;;13;14;;7,89846E+12;1,78985E+13;;8539;;2508;CHICLE PASTI CLE DOCILE HORTELA 240GR;N;FL;;;;11/04/2017;3;;;0;;;N;;N;N;;;;;N;;;;;N;4;PRIME;;;;;;;;;;
